cause_name,measure_name,Y1990,Y2023,absolute_change,percent_change
Lower respiratory infections,DALYs (Disability-Adjusted Life Years),232.00725767025517,102.87619208128564,-129.13106558896953,-55.65820090529219
Upper respiratory infections,DALYs (Disability-Adjusted Life Years),171.66032250709944,164.54637645759837,-7.113946049501067,-4.144199396576837
Enteric infections,DALYs (Disability-Adjusted Life Years),69.64637992473546,20.724249766948788,-48.92213015778667,-70.24360808222222
Neglected tropical diseases and malaria,DALYs (Disability-Adjusted Life Years),14.2889630409801,14.368868709353597,0.07990566837349711,0.5592125064942169
Lower respiratory infections,Deaths,2.6264895474317114,1.1719260306273482,-1.4545635168043631,-55.380518008407634
Enteric infections,Deaths,0.4068270997784383,0.1974380576996543,-0.20938904207878398,-51.46880387093661
Upper respiratory infections,Deaths,0.10170608165884865,0.030507072697943935,-0.07119900896090471,-70.0046720900394
Neglected tropical diseases and malaria,Deaths,0.036289187310640805,0.04953414909424991,0.013244961783609108,36.49836980428985
Upper respiratory infections,Incidence,456039.01930519,453038.6264388568,-3000.39286633319,-0.6579245940192827
Enteric infections,Incidence,17451.56518338873,1588.4846444799202,-15863.080538908811,-90.89775256381061
Lower respiratory infections,Incidence,693.83055900493,478.0676432285333,-215.7629157763967,-31.097349774538195
Neglected tropical diseases and malaria,Incidence,0.06960155080333333,0.14042969635666666,0.07082814555333333,101.76230951155942
