measure_name,cause_name,mean_rate,min_year,min_rate,max_year,max_rate,percent_change
DALYs (Disability-Adjusted Life Years),Acute hepatitis,5.684334465384219,2012,4.801406473699741,1999,6.885365947192405,-20.446134951815853
DALYs (Disability-Adjusted Life Years),Enteric infections,34.933975450745095,1995,22.835225238444284,2008,45.60398359931381,4.07437215437651
DALYs (Disability-Adjusted Life Years),HIV/AIDS,265.285983477553,2023,88.09824385579127,1994,730.7563829848506,-83.12750239113477
DALYs (Disability-Adjusted Life Years),Lower respiratory infections,310.3405720025349,2021,226.1073265973982,1990,445.7504412162034,-48.36154326301963
DALYs (Disability-Adjusted Life Years),Neglected tropical diseases and malaria,32.68372134587551,2023,29.513222066334677,2003,36.12845653035045,-11.613024926338616
DALYs (Disability-Adjusted Life Years),Other infectious diseases,90.80564047458908,2014,69.40736588900626,1990,138.065054095521,-43.809309322265534
DALYs (Disability-Adjusted Life Years),Sexually transmitted infections excluding HIV,12.82166113600994,2020,11.563749098794736,1994,14.380811797991573,-15.326942434164833
DALYs (Disability-Adjusted Life Years),Tuberculosis,9.336561605817506,2014,4.701227456931081,1990,22.620977845262196,-74.39888846189037
DALYs (Disability-Adjusted Life Years),Upper respiratory infections,110.97775158832837,2017,100.28961022466734,1999,120.19448008935478,-8.39082192846849
Deaths,Acute hepatitis,0.0430244259047616,2013,0.01681682474865591,1999,0.07864311048296334,-61.65475194896857
Deaths,Enteric infections,1.396261477385877,1990,0.3629206259171309,2011,2.351106097607371,284.95955960088514
Deaths,HIV/AIDS,4.863766831878609,2023,1.316898485626854,1994,13.71253384393292,-86.30853160851754
Deaths,Lower respiratory infections,15.923356155087601,2021,10.40943802885284,1990,22.97521946763275,-54.42908760672963
Deaths,Neglected tropical diseases and malaria,0.0702080420849293,1998,0.0483968238106607,2021,0.09361616402338072,61.207798505188634
Deaths,Other infectious diseases,1.603251190427829,2014,1.2170181434149334,1990,2.3766899756256192,-38.36023091403024
Deaths,Sexually transmitted infections excluding HIV,0.04369829665738567,2018,0.0348261050918373,1990,0.07086625058592354,-49.16678194032077
Deaths,Tuberculosis,0.28830493595370804,2015,0.13737399467627487,1990,0.7141539652202039,-76.93609640637989
Deaths,Upper respiratory infections,0.0331710415386068,2019,0.02487263147830014,1990,0.0668221497851886,-61.434709985702305
Incidence,Acute hepatitis,2036.7418513626392,1990,1938.03811748083,1995,2123.30402309782,3.7000629925984665
Incidence,Enteric infections,2148.152414549779,2015,294.12168539361,1990,8843.388589442951,-78.77307648924602
Incidence,HIV/AIDS,18.04679007998912,1994,14.123973707430002,1990,26.44222648816,-31.524272791485526
Incidence,Lower respiratory infections,1241.2348335133659,2023,856.5227668186799,1990,1379.62164697846,-37.916111370492814
Incidence,Neglected tropical diseases and malaria,0.2180990509997059,2010,0.16427477152,2016,0.56746907219,4.498570784130979
Incidence,Other infectious diseases,2919.039127533191,2021,2621.10119473019,1995,3563.87188214246,-18.809815778331966
Incidence,Sexually transmitted infections excluding HIV,3360.744504169271,2022,3162.6976052789005,2005,3580.7559905365,-3.468921508012139
Incidence,Tuberculosis,3.8020503271261767,2020,1.64488757349,1990,7.47987890646,-71.68378217191761
Incidence,Upper respiratory infections,316532.66566048504,2017,286404.22424411424,2000,344077.25219686964,-6.6756169563015835
